,Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
200,2,2,,,B,EVENT,YES,NO,21:10:00,21:18:00,,,,00:21:10,00:21:18
201,2,2,,,U,MUSIC,YES,YES,21:13:00,21:52:00,,,,00:21:13,00:21:52
202,2,2,,,B,EVENT,YES,YES,21:22:00,21:25:00,,,,00:21:22,00:21:25
203,2,2,,,NB,BEHAVIOR,YES,YES,21:26:00,21:34:00,,,,00:21:26,00:21:34
204,2,2,,,B,EVENT,YES,YES,21:34:00,21:37:00,,,,00:21:34,00:21:37
205,2,2,,,B,EVENT,YES,YES,21:38:00,21:40:00,,,,00:21:38,00:21:40
206,2,2,,,L,BEHAVIOR,YES,YES,21:41:00,21:52:00,,,,00:21:41,00:21:52
207,2,2,,,NB,BEHAVIOR,YES,NO,21:53:00,21:57:00,,,,00:21:53,00:21:57
208,2,2,,,M,EVENT,YES,NO,21:58:00,22:01:00,,,,00:21:58,00:22:01
209,2,2,,,B,EVENT,YES,NO,22:02:00,22:03:00,,,,00:22:02,00:22:03
210,2,2,,,U,MUSIC,YES,YES,22:04:00,22:30:00,,,,00:22:04,00:22:30
211,2,2,,,NB,BEHAVIOR,YES,YES,22:05:00,22:10:00,,,,00:22:05,00:22:10
212,2,2,,,H,EVENT,YES,YES,22:14:00,22:14:00,,,,00:22:14,00:22:14
213,2,2,,,H,EVENT,YES,YES,22:17:00,22:18:00,,,,00:22:17,00:22:18
214,2,2,,,H,EVENT,YES,YES,22:21:00,22:22:00,,,,00:22:21,00:22:22
215,2,2,,,H,EVENT,YES,YES,22:22:00,22:25:00,,,,00:22:22,00:22:25
216,2,2,,,NB,BEHAVIOR,YES,NO,22:55:00,22:58:00,,,,00:22:55,00:22:58
217,2,2,,,L,BEHAVIOR,YES,NO,23:00:00,23:45:00,,,,00:23:00,00:23:45
218,2,2,,,L,BEHAVIOR,YES,NO,23:52:00,23:58:00,,,,00:23:52,00:23:58
219,2,2,,,M,EVENT,YES,NO,23:59:00,24:04:00,,,,00:23:59,00:24:04
220,2,2,,,FP,BEHAVIOR,YES,NO,24:06:00,24:07:00,,,,00:24:06,00:24:07
221,2,2,,,L,BEHAVIOR,YES,NO,24:08:00,24:39:00,,,,00:24:08,00:24:39
222,2,2,,,P,BEHAVIOR,YES,NO,24:40:00,24:49:00,,,,00:24:40,00:24:49
223,2,2,,,V,EVENT,YES,NO,24:52:00,24:54:00,,,,00:24:52,00:24:54
224,2,2,,,L,BEHAVIOR,YES,NO,24:55:00,25:41:00,,,,00:24:55,00:25:41
225,2,2,,,M,EVENT,YES,NO,25:46:00,25:53:00,,,,00:25:46,00:25:53
226,2,2,,,L,BEHAVIOR,YES,NO,25:54:00,27:30:00,,,,00:25:54,00:27:30
227,2,2,,,H,EVENT,YES,NO,27:31:00,27:32:00,,,,00:27:31,00:27:32
228,2,2,,,P,BEHAVIOR,YES,NO,27:34:00,27:35:00,,,,00:27:34,00:27:35
229,2,2,,,L,BEHAVIOR,YES,NO,27:37:00,28:15:00,,,,00:27:37,00:28:15
230,2,2,,,M,EVENT,YES,NO,28:16:00,28:29:00,,,,00:28:16,00:28:29
231,2,2,,,NB,BEHAVIOR,YES,NO,28:30:00,28:32:00,,,,00:28:30,00:28:32
232,2,2,,,M,EVENT,YES,NO,28:33:00,28:38:00,,,,00:28:33,00:28:38
233,2,2,,,E,BEHAVIOR,YES,NO,28:39:00,29:56:00,,,,00:28:39,00:29:56
234,2,2,,,M,EVENT,YES,NO,30:00:00,30:03:00,,,,00:30:00,00:30:03
235,2,2,,,M,EVENT,YES,NO,30:06:00,30:21:00,,,,00:30:06,00:30:21
236,2,2,,,E,BEHAVIOR,YES,NO,30:21:00,31:29:00,,,,00:30:21,00:31:29
237,2,2,,,NB,BEHAVIOR,YES,NO,31:36:00,31:38:00,,,,00:31:36,00:31:38
238,2,2,,,NB,BEHAVIOR,YES,NO,31:46:00,31:59:00,,,,00:31:46,00:31:59
239,2,2,,,M,EVENT,YES,NO,32:07:00,32:08:00,,,,00:32:07,00:32:08
240,2,2,,,NB,BEHAVIOR,YES,NO,32:09:00,32:14:00,,,,00:32:09,00:32:14
241,2,2,,,M,EVENT,YES,NO,32:14:00,32:20:00,,,,00:32:14,00:32:20
242,2,2,,,L,BEHAVIOR,YES,NO,32:20:00,32:48:00,,,,00:32:20,00:32:48
243,2,2,,,L,BEHAVIOR,YES,NO,32:52:00,33:01:00,,,,00:32:52,00:33:01
244,2,2,,,U,MUSIC,YES,YES,32:53:00,33:15:00,,,,00:32:53,00:33:15
245,2,2,,,L,BEHAVIOR,YES,YES,33:09:00,33:12:00,,,,00:33:09,00:33:12
246,2,2,,,L,BEHAVIOR,YES,NO,33:20:00,33:28:00,,,,00:33:20,00:33:28
247,2,2,,,L,BEHAVIOR,YES,NO,33:31:00,33:37:00,,,,00:33:31,00:33:37
248,2,2,,,B,EVENT,YES,NO,33:38:00,33:40:00,,,,00:33:38,00:33:40
249,2,2,,,U,MUSIC,YES,YES,33:41:00,34:33:00,,,,00:33:41,00:34:33
250,2,2,,,L,BEHAVIOR,YES,YES,33:43:00,33:50:00,,,,00:33:43,00:33:50
251,2,2,,,B,EVENT,YES,YES,33:53:00,33:57:00,,,,00:33:53,00:33:57
252,2,2,,,B,EVENT,YES,YES,33:57:00,33:59:00,,,,00:33:57,00:33:59
253,2,2,,,L,BEHAVIOR,YES,YES,34:01:00,34:03:00,,,,00:34:01,00:34:03
254,2,2,,,H,EVENT,YES,YES,34:03:00,34:04:00,,,,00:34:03,00:34:04
255,2,2,,,H,EVENT,YES,YES,34:13:00,34:14:00,,,,00:34:13,00:34:14
256,2,2,,,L,BEHAVIOR,YES,YES,34:15:00,34:18:00,,,,00:34:15,00:34:18
257,2,2,,,H,EVENT,YES,YES,34:18:00,34:20:00,,,,00:34:18,00:34:20
258,2,2,,,V,EVENT,YES,YES,34:23:00,34:24:00,,,,00:34:23,00:34:24
259,2,2,,,L,BEHAVIOR,YES,YES,34:25:00,34:32:00,,,,00:34:25,00:34:32
260,2,2,,,M,EVENT,YES,YES,34:48:00,34:54:00,,,,00:34:48,00:34:54
261,2,2,,,V,EVENT,YES,NO,34:55:00,34:56:00,,,,00:34:55,00:34:56
262,2,2,,,FP,BEHAVIOR,YES,NO,35:09:00,35:10:00,,,,00:35:09,00:35:10
263,2,2,,,P,BEHAVIOR,YES,NO,37:59:00,38:08:00,,,,00:37:59,00:38:08
264,2,2,,,M,EVENT,YES,NO,38:09:00,38:15:00,,,,00:38:09,00:38:15
265,2,2,,,L,BEHAVIOR,YES,NO,38:16:00,38:17:00,,,,00:38:16,00:38:17
266,2,2,,,M,EVENT,YES,NO,38:22:00,38:26:00,,,,00:38:22,00:38:26
267,2,2,,,U,MUSIC,YES,YES,38:25:00,38:43:00,,,,00:38:25,00:38:43
268,2,2,,,V,EVENT,YES,YES,38:33:00,38:34:00,,,,00:38:33,00:38:34
269,2,2,,,L,BEHAVIOR,YES,YES,38:35:00,39:19:00,,,,00:38:35,00:39:19
270,2,2,,,FP,BEHAVIOR,YES,NO,39:22:00,39:23:00,,,,00:39:22,00:39:23
271,2,2,,,M,EVENT,YES,NO,39:34:00,39:40:00,,,,00:39:34,00:39:40
272,2,2,,,L,BEHAVIOR,YES,YES,39:41:00,39:59:00,,,,00:39:41,00:39:59
273,2,2,,,U,MUSIC,YES,YES,39:42:00,40:01:00,,,,00:39:42,00:40:01
274,2,2,,,B,EVENT,YES,NO,42:57:00,43:01:00,,,,00:42:57,00:43:01
275,2,2,,,B,EVENT,YES,NO,43:05:00,43:08:00,,,,00:43:05,00:43:08
276,2,2,,,U,MUSIC,YES,YES,43:06:00,43:48:00,,,,00:43:06,00:43:48
277,2,2,,,B,EVENT,YES,YES,43:11:00,43:17:00,,,,00:43:11,00:43:17
278,2,2,,,B,EVENT,YES,YES,43:29:00,43:31:00,,,,00:43:29,00:43:31
279,2,2,,,M,EVENT,YES,NO,44:28:00,44:41:00,,,,00:44:28,00:44:41
280,2,2,,,L,BEHAVIOR,YES,NO,44:47:00,45:55:00,,,,00:44:47,00:45:55
281,2,2,,,L,BEHAVIOR,YES,NO,46:01:00,47:20:00,,,,00:46:01,00:47:20
282,2,2,,,L,BEHAVIOR,YES,NO,47:22:00,48:45:00,,,,00:47:22,00:48:45
283,2,3,,,L,BEHAVIOR,YES,NO,0:01:00,2:25:00,,,,00:01:00,00:25:00
284,2,3,,,L,BEHAVIOR,YES,NO,2:28:00,2:46:00,,,,00:28:00,00:46:00
285,2,3,,,U,MUSIC,YES,YES,2:49:00,3:01:00,,,,00:49:00,00:01:00
286,2,3,,,P,BEHAVIOR,YES,NO,3:23:00,3:29:00,,,,00:23:00,00:29:00
