Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
2,2,,,L,BEHAVIOR,YES,NO,33:31:00,33:37:00,,,,0:33:31,0:33:37
2,2,,,B,EVENT,YES,NO,33:38:00,33:40:00,,,,0:33:38,0:33:40
2,2,,,U,MUSIC,YES,YES,33:41:00,34:33:00,,,,0:33:41,0:34:33
2,2,,,L,BEHAVIOR,YES,YES,33:43:00,33:50:00,,,,0:33:43,0:33:50
2,2,,,B,EVENT,YES,YES,33:53:00,33:57:00,,,,0:33:53,0:33:57
2,2,,,B,EVENT,YES,YES,33:57:00,33:59:00,,,,0:33:57,0:33:59
2,2,,,L,BEHAVIOR,YES,YES,34:01:00,34:03:00,,,,0:34:01,0:34:03
2,2,,,H,EVENT,YES,YES,34:03:00,34:04:00,,,,0:34:03,0:34:04
2,2,,,H,EVENT,YES,YES,34:13:00,34:14:00,,,,0:34:13,0:34:14
2,2,,,L,BEHAVIOR,YES,YES,34:15:00,34:18:00,,,,0:34:15,0:34:18
2,2,,,H,EVENT,YES,YES,34:18:00,34:20:00,,,,0:34:18,0:34:20
2,2,,,V,EVENT,YES,YES,34:23:00,34:24:00,,,,0:34:23,0:34:24
2,2,,,L,BEHAVIOR,YES,YES,34:25:00,34:32:00,,,,0:34:25,0:34:32
2,2,,,M,EVENT,YES,YES,34:48:00,34:54:00,,,,0:34:48,0:34:54
2,2,,,V,EVENT,YES,NO,34:55:00,34:56:00,,,,0:34:55,0:34:56
2,2,,,FP,BEHAVIOR,YES,NO,35:09:00,35:10:00,,,,0:35:09,0:35:10
2,2,,,P,BEHAVIOR,YES,NO,37:59:00,38:08:00,,,,0:37:59,0:38:08
2,2,,,M,EVENT,YES,NO,38:09:00,38:15:00,,,,0:38:09,0:38:15
2,2,,,L,BEHAVIOR,YES,NO,38:16:00,38:17:00,,,,0:38:16,0:38:17
2,2,,,M,EVENT,YES,NO,38:22:00,38:26:00,,,,0:38:22,0:38:26
2,2,,,U,MUSIC,YES,YES,38:25:00,38:43:00,,,,0:38:25,0:38:43
2,2,,,V,EVENT,YES,YES,38:33:00,38:34:00,,,,0:38:33,0:38:34
2,2,,,L,BEHAVIOR,YES,YES,38:35:00,39:19:00,,,,0:38:35,0:39:19
2,2,,,FP,BEHAVIOR,YES,NO,39:22:00,39:23:00,,,,0:39:22,0:39:23
2,2,,,M,EVENT,YES,NO,39:34:00,39:40:00,,,,0:39:34,0:39:40
2,2,,,L,BEHAVIOR,YES,YES,39:41:00,39:59:00,,,,0:39:41,0:39:59
2,2,,,U,MUSIC,YES,YES,39:42:00,40:01:00,,,,0:39:42,0:40:01
2,2,,,B,EVENT,YES,NO,42:57:00,43:01:00,,,,0:42:57,0:43:01
2,2,,,B,EVENT,YES,NO,43:05:00,43:08:00,,,,0:43:05,0:43:08
2,2,,,U,MUSIC,YES,YES,43:06:00,43:48:00,,,,0:43:06,0:43:48
2,2,,,B,EVENT,YES,YES,43:11:00,43:17:00,,,,0:43:11,0:43:17
2,2,,,B,EVENT,YES,YES,43:29:00,43:31:00,,,,0:43:29,0:43:31
2,2,,,M,EVENT,YES,NO,44:28:00,44:41:00,,,,0:44:28,0:44:41
2,2,,,L,BEHAVIOR,YES,NO,44:47:00,45:55:00,,,,0:44:47,0:45:55
2,2,,,L,BEHAVIOR,YES,NO,46:01:00,47:20:00,,,,0:46:01,0:47:20
2,2,,,L,BEHAVIOR,YES,NO,47:22:00,48:45:00,,,,0:47:22,0:48:45
2,3,,,L,BEHAVIOR,YES,NO,0:01,2:25,,,,0:00:01,0:02:25
2,3,,,L,BEHAVIOR,YES,NO,2:28,2:46,,,,0:02:28,0:02:46
2,3,,,U,MUSIC,YES,YES,2:49,3:01,,,,0:02:49,0:03:01
2,3,,,P,BEHAVIOR,YES,NO,3:23,3:29,,,,0:03:23,0:03:29
2,3,,,U,MUSIC,YES,YES,3:33,3:45,,,,0:03:33,0:03:45
2,3,,,L,BEHAVIOR,YES,YES,3:34,3:49,,,,0:03:34,0:03:49
2,3,,,FP,BEHAVIOR,YES,NO,3:51,3:52,,,,0:03:51,0:03:52
2,3,,,L,BEHAVIOR,YES,NO,3:54,4:39,,,,0:03:54,0:04:39
2,3,,,N,EVENT,YES,NO,4:39,4:40,,,,0:04:39,0:04:40
2,3,,,U,MUSIC,YES,YES,4:40,4:58,,,,0:04:40,0:04:58
2,3,,,L,BEHAVIOR,YES,YES,4:41,4:45,,,,0:04:41,0:04:45
2,3,,,L,BEHAVIOR,YES,NO,5:04,6:28,,,,0:05:04,0:06:28
2,3,,,P,BEHAVIOR,YES,NO,6:28,6:36,,,,0:06:28,0:06:36
2,3,,,V,EVENT,YES,NO,6:36,6:37,,,,0:06:36,0:06:37
2,3,,,U,MUSIC,YES,YES,6:37,6:51,,,,0:06:37,0:06:51
2,3,,,L,BEHAVIOR,YES,YES,6:38,8:50,,,,0:06:38,0:08:50
2,3,,,B,EVENT,YES,NO,9:48,9:49,,,,0:09:48,0:09:49
2,3,,,U,MUSIC,YES,YES,9:50,10:03,,,,0:09:50,0:10:03
2,3,,,N,EVENT,YES,NO,10:52,10:53,,,,0:10:52,0:10:53
2,3,,,U,MUSIC,YES,YES,10:55,11:18,,,,0:10:55,0:11:18
2,3,,,M,EVENT,YES,YES,11:00,11:03,,,,0:11:00,0:11:03
2,3,,,FP,BEHAVIOR,YES,YES,11:06,11:08,,,,0:11:06,0:11:08
2,3,,,L,BEHAVIOR,YES,YES,11:09,12:01,,,,0:11:09,0:12:01
2,3,,,P,BEHAVIOR,YES,NO,12:02,12:05,,,,0:12:02,0:12:05
2,3,,,L,BEHAVIOR,YES,NO,12:06,12:43,,,,0:12:06,0:12:43
2,3,,,L,BEHAVIOR,YES,NO,12:45,12:59,,,,0:12:45,0:12:59
2,3,,,M,EVENT,YES,NO,12:59,13:00,,,,0:12:59,0:13:00
2,3,,,L,BEHAVIOR,YES,NO,13:01,13:31,,,,0:13:01,0:13:31
