Observation id,D2_S3,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,,,,,,,,
,,,,,,,,,
Observation date,7/31/19 10:00,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
visitors,YES,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Music
1168.378,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1169.127,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1178.635,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1179.134,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1184.135,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1185.639,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1196.881,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1203.416,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1204.166,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1219.682,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1220.181,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1237.681,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1238.184,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1250.206,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,START,NO
1250.709,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,vocalization,EVENT,,STOP,NO
1266.214,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1270.715,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1272.237,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,START,NO
1274.739,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,moving,EVENT,,STOP,NO
1276.744,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
1286.492,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
1286.746,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,feathers puffing,BEHAVIOR,,START,NO
1288.244,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,feathers puffing,BEHAVIOR,,STOP,NO
1289.993,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,pruning,BEHAVIOR,,START,NO
1295.245,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,pruning,BEHAVIOR,,STOP,NO
1296.244,/Users/lydiayu/Documents/Photos/mergedSessions/D2_S3_output.mov,4239.62,29.97,,standing on one leg,BEHAVIOR,,START,NO
