N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Start,End,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:29:01,0:29:26,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:30:02,0:30:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:31:20,0:32:59,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:32:14,0:33:04,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:33:09,0:33:41,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:33:59,0:34:12,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:34:18,0:35:04,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:34:31,0:35:40,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:35:30,0:36:19,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:37:44,0:37:58,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:38:11,0:38:15,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:39:40,0:39:42,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,VA_B,,,,,0:39:45,0:41:02,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:40:24,0:41:17,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:41:22,0:42:19,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:42:29,0:42:36,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:00:15,0:00:24,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:00:30,0:00:38,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:00:38,0:00:48,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,FP,BEHAVIOR,,NO,NO,0:00:48,0:00:50,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:00:51,0:01:11,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:01:11,0:01:13,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:01:13,0:02:06,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:02:06,0:02:14,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,JB_NB,BEHAVIOR,,NO,YES,0:02:14,0:02:16,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,U,MUSIC,,NO,YES,0:02:14,0:02:25,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:02:20,0:02:41,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,JB_NB,BEHAVIOR,,NO,YES,0:02:42,0:02:45,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,U,MUSIC,,NO,YES,0:02:43,0:02:55,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:02:49,0:04:00,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:04:01,0:04:09,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:04:27,0:04:38,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:04:38,0:05:03,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:05:06,0:05:26,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:05:49,0:06:45,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:06:45,0:06:48,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:07:09,0:07:29,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:07:30,0:07:42,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,L,BEHAVIOR,,NO,NO,0:07:42,0:07:57,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:07:57,0:08:01,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:08:16,0:08:33,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,M,EVENT,,NO,NO,0:08:34,0:08:40,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,JB_NB,BEHAVIOR,,NO,YES,0:08:40,0:08:52,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,U,MUSIC,,NO,YES,0:08:41,0:09:00,,,,,,,,,,,,,,,,
1,4/9/19,1,D1_S1_output_F.mov,,0:28:00,B,EVENT,,NO,YES,0:08:52,0:08:55,,,,,,,,,,,,,,,,
